duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,director,country,cast,listed_in
71,11,Movie,Lucky Days,2013-03-31,2000.0,TV-PG,"Obsessed with an unsolved murder case, a crime novelist stuck in an unhappy marriage fantasizes about killing his wife, who soon turns up dead.",26626378,Kate Melville,Qatar,Krissada Sukosol,Classic Movies
78,5,TV Show,Mo Gilligan: Momentum,2018-09-15,2000.0,TV-PG,This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.,72989422,David Guy Levy,"Poland,",Mikael Persbrandt,Romantic TV Shows
53,13,Movie,After Maria,2018-09-11,2014.0,TV-G,A family Christmas gathering at an isolated Australian estate turns into the holiday from hell after a mysterious stranger turns up at the door.,73704075,Mark Helenowski,Indonesia,Dong-hwi Lee,Classic & Cult TV
167,4,Movie,The Pursuit of Happyness,2015-12-15,1998.0,R,A medical student-turned-zombie tries to retain her humanity by eating brains at the morgue and finds she has an uncanny new gift for solving crimes.,1615228,Lev L. Spiro,Cayman Islands,Diego Capusotto,TV Shows
82,6,Movie,A Stoning in Fulham County,2019-10-21,1959.0,TV-MA,"Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",72016568,Karan Anshuman,Malawi,Michael Blieden,Thrillers
71,12,Movie,Udta Punjab,2017-12-31,1962.0,NC-17,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,10333640,Sara Colangelo,United Arab Emirates,Anand Deverakonda,Spanish-Language TV Shows
67,11,Movie,Indiana Jones and the Temple of Doom,2008-01-01,1969.0,PG,An unassuming San Francisco chef becomes the latest in a long line of assassins chosen to keep the mystical Wu powers out of the wrong hands.,12177815,Gaëtan Brizzi,Thailand,Ahmed Eid,International TV Shows
228,15,TV Show,Struggle: The Life and Lost Art of Szukalski,2016-11-17,2016.0,TV-Y,"After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",13157846,Ross Kauffman,Senegal,Tio Pakusadewo,Cult Movies
104,12,TV Show,Ottaal,2016-11-22,1965.0,NR,A domestic abuse survivor orchestrates an elaborate deception to protect her family from her powerfully wealthy husband and his vindictive enemies.,76504561,Anthony Russo,Iceland,Steve Aoki,Music & Musicals
147,13,Movie,Aalorukkam,2018-07-22,2006.0,TV-MA,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,48592986,Dharmendra Suresh Desai,New Zealand,Syra Shehroz,British TV Shows
30,10,Movie,Jack Whitehall: Travels with My Father,2019-10-31,2004.0,TV-Y7-FV,A simple man's peaceful life is complicated when an incident brings him in contact with a gangster and launches his journey into the underworld.,66460948,Milind Rau,Liechtenstein,Joaquín Furriel,Thrillers
65,4,Movie,Chelsea Does,2019-01-07,1986.0,TV-MA,"In 1930s Poland, a powerful psychic steers a group of strangers toward a fated convergence that ensures survival for one and annihilation for others.",58239179,Nakul Singh Sawhney,Serbia,Bob Frazer,TV Action & Adventure
148,12,Movie,Harry & Bunnie,2019-06-24,2000.0,TV-MA,"When scientists join Hulk's gamma energy with Tony Stark's Arc Reactor, the resulting force creates a foe that only the two Marvel heroes can combat.",51301128,Huang Lei,Panama,Olivier Rabourdin,Kids' TV
100,7,TV Show,Engineering Girls,2017-07-02,2019.0,R,"When a teenager discovers he's not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges.",78235274,Bruce Sinofsky,Zimbabwe,Feroze Khan,Thrillers
87,13,TV Show,"Ram Dass, Going Home",2016-07-25,1984.0,TV-MA,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",49550036,Carlos Bolado,Finland,Usain Bolt,Anime Features
46,7,TV Show,Pottersville,2020-01-16,1975.0,PG-13,Aptly named iconic rock photographer Mick Rock reconstructs his journey through the thrilling and murky universe of rock 'n' roll history.,23671949,Guillermo del Toro,"United Kingdom,",Sam Waterston,Action & Adventure
107,3,Movie,Club Friday To Be Continued - Friend & Enemy,2018-02-08,1997.0,TV-Y,"When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",70450931,Cosmo Feilding-Mellen,Turkey,Mike Vogel,Reality TV
88,6,Movie,Cop and a Half: New Recruit,2017-08-28,1942.0,TV-14,A couple trying to conceive invite a woman with a mysterious past to move in with them. But it's an invitation they might come to regret.,63197944,John R. Leonetti,Belgium,Alexandra Breckenridge,Spanish-Language TV Shows
36,8,Movie,Léa & I,2017-10-26,1977.0,TV-Y7-FV,"After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelgänger.",30786596,John Lee Hancock,New Zealand,Lauren Graham,Sci-Fi & Fantasy
69,12,Movie,Pyar Ke Do Pal,2017-10-18,2005.0,TV-G,"Relocated to a new post and struggling to adjust, a police officer further complicates his life by falling for a woman he has little in common with.",52306430,Harold Cronk,Pakistan,Emilian Oprea,International Movies
20,11,Movie,Dream/Killer,2019-01-16,2020.0,G,"This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman.",11426924,John Dahl,Somalia,Fatima Al Taei,British TV Shows
78,1,Movie,TURN: Washington's Spies,2016-01-22,1958.0,TV-14,A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,61918400,Terry Loane,"Poland,",Tuck Boriboon,TV Shows
165,1,TV Show,Mac & Devin Go to High School,2017-02-28,1991.0,TV-MA,"On Halloween, the scariest night of the year, the Rangers have a strange encounter with a mysterious medium who conjures ""visions"" of monsters past.",77950596,David Wnendt,Malawi,Kamal Hassan,TV Action & Adventure
190,12,TV Show,Marvel's The Punisher,2018-07-27,1955.0,TV-Y,"When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones.",10381050,Julia Hart,Hong Kong,María León,Anime Features
56,3,TV Show,Transformers Rescue Bots Academy,2017-04-08,1942.0,TV-Y,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",68851890,Vivek Agnihotri,Ghana,Irfan Khan,Stand-Up Comedy & Talk Shows
111,2,TV Show,Screwball,2019-02-12,1981.0,TV-PG,"A soap opera producer, director and makeup artist each face wrenching family turmoil, from teen rebellion and marital infidelity to Alzheimer's.",2764491,Josh Mendoza,Panama,Lulu Antariksa,British TV Shows
19,7,TV Show,Abducted in Plain Sight,2018-05-01,1997.0,TV-PG,A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.,72203602,Jean-François Blais,Iceland,Marta Hazas,Crime TV Shows
150,12,TV Show,Kills on Wheels,2019-01-15,2019.0,TV-PG,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime.",7538488,Rodrigo Eba,Hong Kong,Karra Elejalde,International TV Shows
12,8,Movie,Brain Games,2015-09-02,1980.0,TV-PG,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.,61678630,Mark Risley,Paraguay,Jung-woo Ha,Romantic Movies
193,12,Movie,Bad Grandpa .5,2016-02-01,2015.0,PG,"Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films.",54314061,Mark Henn,Iceland,Yon González,Reality TV
224,2,Movie,Power Rangers RPM,2018-04-07,1979.0,TV-Y,"A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",26436284,Mark Dennis,Canada,Chantavit Dhanasevi,Reality TV
100,15,Movie,The Night Shift,2018-10-08,1973.0,UR,This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,54257563,Zeke Norton,Peru,Murat Ünalmış,Romantic Movies
125,2,TV Show,Riphagen - The Untouchable,2019-05-30,1946.0,PG-13,"Join your DreamWorks friends for these four holiday specials, featuring Shrek and Donkey, Hiccup and Toothless, and the wacky animals from Madagascar.",56137436,Sabir Khan,Malaysia,Clara Lago,TV Horror
201,3,TV Show,Rocky II,2017-03-02,1966.0,NC-17,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.",6453657,Keanu Reeves,Canada,Atsushi Tamura,TV Dramas
171,4,Movie,Iliza Shlesinger: Elder Millennial,2016-06-20,2019.0,G,"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge.",30313253,John Maclean,Czech Republic,Julia Barretto,Romantic Movies
28,11,Movie,City of God,2018-12-25,1987.0,TV-Y7,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,18583403,Toby Haynes,Switzerland,Allen Iverson,Independent Movies
173,1,TV Show,The Danish Girl,2019-12-16,1979.0,TV-G,"In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.",24183412,Wael Ihsan,Ghana,Suriya,Anime Series
133,10,Movie,The Pass,2018-01-05,1972.0,TV-G,Ro risks her life to discover the identity of a stranger lurking on the Internet who might hold the answers to her friend's murder.,36101427,Paula Apsell,Slovakia,Olivia Holt,Crime TV Shows
121,14,Movie,Ranbhool,2019-07-07,1960.0,NC-17,"An overly eager elf improves Santa's sleigh, but when he crash lands far from home, three odd critters pitch in to send him back to the North Pole.",19827016,Mangesh Hadawale,Portugal,John Sessions,TV Dramas
118,8,Movie,Head On,2017-12-18,2001.0,PG,"After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.",19063812,Jeeva,Mauritius,Arjun Kapoor,Crime TV Shows
24,7,Movie,Adhugo,2017-06-13,1995.0,TV-14,"In Canada, a colorful collection of treasure-seeking scavengers bid on the largely unknown contents of repossessed and abandoned storage units.",33626995,Wi Ding Ho,Jordan,Khalil Ramos,Children & Family Movies
99,11,Movie,Babylon Berlin,2018-11-05,1998.0,TV-G,"Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin.",67532139,Sameer Vidwans,"United States,",Catherine Zeta-Jones,Sports Movies
154,14,Movie,Anne with an E,2019-06-13,2020.0,TV-14,A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.,51604576,Sylvie Verheyde,Vietnam,Olivia Colman,TV Comedies
105,12,Movie,Jandino: Whatever it Takes,2017-05-29,2003.0,TV-G,"Classmates Aimee and Sutter form an unlikely friendship, and after helping Aimee raise her social confidence, Sutter begins falling for his creation.",20471889,Eleonore Pourriat,Saudi Arabia,Naomi Watts,Classic & Cult TV
43,13,TV Show,The Rolling Stones: Olé Olé Olé! A Trip Across Latin America,2019-06-24,1988.0,TV-MA,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,43291567,Kim Sung-hoon,Singapore,Sarah Lancaster,Romantic TV Shows
187,15,Movie,Madaari,2016-06-24,1992.0,PG-13,"After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity.",21329471,Philip Yung,United Arab Emirates,Manu NNa,Dramas
